,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1876,2014 Maruti Suzuki Wagon R,LXI,₹ 3.5 Lakh,Jun 2014,"67,000 km",Petrol,20.5 kmpl,Manual,Silver,Not Available,First,Registered at,"Very Good Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Finance Available, Test Drive Available & Service History Available",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1877,2017 Hyundai Creta,SX 1.6 CRDi,₹ 11.7 Lakh,Jun 2017,"85,000 km",Diesel,19.67 kmpl,Manual,White,Not Available,First,Registered at,"Very Good Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera, Service History Available & Test Drive Available",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1878,2008 Hyundai Santro,GLS,₹ 1.99 Lakh,Jun 2008,"54,572 km",Petrol,17.92 kmpl,Manual,Silver,Not Available,First,Registered at,"Very Good Condition, Non Accidental, Original Paint & Single Owner",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1879,2013 Hyundai i20,Sportz 1.2 (O),₹ 4.9 Lakh,Jun 2013,"80,047 km",Petrol,185 / 65 R14 ,Manual,White,Not Available,First,Registered at,"Excellent Condition, Single Owner, Non Accidental & Finance Available",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1880,2010 Maruti Suzuki Alto,VXi,₹ 2.25 Lakh,Jun 2010,"80,334 km",Petrol,20.2 kmpl,Manual,Black,Not Available,First,Registered at,"Excellent Condition, Certified Car, Single Owner & Finance Available",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1881,2019 MG Hector,Sharp Hybrid 1.5 Petrol [2019-2020],₹ 17.9 Lakh,May 2019,"19,118 km",Hybrid,15.81 kmpl,Manual,White,Not Available,First,Registered at,Get Seller Details,4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1882,2021 Jeep Wrangler,Rubicon,₹ 66 Lakh,May 2021,"7,099 km",Petrol,10 kmpl,Automatic,Red,Not Available,Second,Registered at,Get Seller Details,4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1883,2018 Jeep Compass,Limited (O) 2.0 Diesel [2017-2020],₹ 20.2 Lakh,Apr 2018,"29,831 km",Diesel,FWD ,Manual,Black,Not Available,Second,Registered at,Get Seller Details,4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1884,2022 Mercedes-Benz A-Class Sedan,200,₹ 55 Lakh,Jun 2022,"2,000 km",Petrol,161 bhp @ 5500 rpm ,Automatic,Black,Not Available,UnRegistered Car,Registered at,"DEMO CAR CAN BE REGISTERED ANY WHERE IN INDIA

price Quoted is Exshowroom Hyderabad",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1885,2021 Mercedes-Benz AMG A35 Limousine,4MATIC,₹ 55 Lakh,Jun 2021,"2,000 km",Petrol,301 bhp @ 5800 rpm ,Automatic,Black,Not Available,UnRegistered Car,Registered at,"Unregistered Car
can Register Across india

price Quoted is Exshowroom Hyderabad",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1886,2021 Mercedes-Benz EQC,400 4MATIC,₹ 96 Lakh,Jun 2021,"6,500 km",Electric,402 bhp  760 Nm ,Automatic,Grey,Not Available,UnRegistered Car,Registered at,"price Quoted is Exshowroom Hyderabad 

Unregistered Car",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1887,2018 Mercedes-Benz GLA,200 d Sport,₹ 29.5 Lakh,Jun 2018,"39,000 km",Diesel,FWD ,Automatic,Silver,Not Available,UnRegistered Car,Registered at,well maintained,4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1888,2014 Jaguar XF,2.2 Diesel,₹ 24.49 Lakh,Mar 2014,"63,000 km",Diesel,RWD ,Automatic,Blue,Not Available,First,Registered at,Get Seller Details,4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1889,2018 Honda WR-V,VX MT Diesel,₹ 8.37 Lakh,May 2018,"56,124 km",Diesel,25.5 kmpl,Manual,Maroon,Not Available,Second,Registered at,"""This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty*
Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month.""",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1890,2015 Hyundai Grand i10,Sports Edition 1.2L Kappa VTVT,₹ 5.14 Lakh,May 2015,"22,344 km",Petrol,18.9 kmpl,Manual,Maroon,Not Available,First,Registered at,"""This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty*
Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month.""",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1891,2019 Maruti Suzuki Alto 800,LXi (O),₹ 3.45 Lakh,May 2019,"13,137 km",Petrol,22 kmpl,Manual,Orange,Not Available,First,Registered at,"""This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty*
Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month.""",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1892,2016 Volkswagen Polo,GT TSI,₹ 6.75 Lakh,May 2016,"65,031 km",Petrol,17.21 kmpl,Automatic,Red,Not Available,First,Registered at,"""This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty*
Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month.""",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1893,2018 Maruti Suzuki Baleno,Sigma,₹ 5.52 Lakh,May 2018,"73,471 km",Petrol,21.01 kmpl,Manual,Black,Not Available,First,Registered at,"""This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty*
Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month.""
",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1894,2016 Hyundai Xcent,S AT 1.2,₹ 5.69 Lakh,May 2016,"37,134 km",Petrol,16.1 kmpl,Automatic,Silver,Not Available,Second,Registered at,"""This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty*
Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month.""",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1895,2018 Datsun Redigo,S 1.0 AMT [2018-2019],₹ 3.8 Lakh,May 2018,"25,002 km",Petrol,23 kmpl,Automatic,Bronze,Not Available,First,Registered at,"""This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty*
Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month.""",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1896,2020 Maruti Suzuki Alto 800,LXi (O),₹ 3.86 Lakh,May 2020,"18,490 km",Petrol,22 kmpl,Manual,Silver,Not Available,First,Registered at,"""This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty*
Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month.""",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1897,2020 Mahindra XUV500,W9,₹ 17.79 Lakh,May 2020,"11,082 km",Diesel,16 kmpl,Manual,Brown,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1898,2008 Maruti Suzuki Wagon R,Duo LXi LPG,₹ 1.99 Lakh,May 2008,"1,00,117 km",LPG,11 kmpl,Manual,Silver,Not Available,Second,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1899,2018 Honda City,VX,₹ 9.6 Lakh,May 2018,"48,992 km",Petrol,FWD ,Manual,Black,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1900,2021 Volkswagen Polo,Highline Plus 1.0L TSI,₹ 9.94 Lakh,May 2021,"11,259 km",Petrol,18.2 kmpl,Manual,White,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1901,2017 Maruti Suzuki Wagon R,VXI AMT (O),₹ 4.84 Lakh,May 2017,"29,288 km",Petrol,20.5 kmpl,Automatic,Bronze,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1902,2017 Maruti Suzuki Ignis,Alpha 1.2 MT,₹ 5.01 Lakh,May 2017,"83,526 km",Petrol,FWD ,Manual,Silver,Not Available,Second,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1903,2017 Hyundai Grand i10,Sports Edition 1.2L Kappa VTVT,₹ 4.94 Lakh,May 2017,"19,376 km",Petrol,18.9 kmpl,Manual,White,Not Available,Second,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1904,2017 Maruti Suzuki Alto,VXi [2014-2019],₹ 3.7 Lakh,May 2017,"89,730 km",Petrol,24.07 kmpl,Manual,Gold,Not Available,Second,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1905,2018 Maruti Suzuki Eeco,5 STR WITH A/C+HTR [2019-2020],₹ 4.09 Lakh,May 2018,"25,766 km",Petrol,16.2 kmpl,Manual,Grey,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1906,2019 Maruti Suzuki Alto 800,LXi (O),₹ 3.51 Lakh,May 2019,"17,804 km",Petrol,22 kmpl,Manual,Grey,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1907,2017 Hyundai Creta,1.6 SX Plus AT Petrol,₹ 10.38 Lakh,May 2017,"44,234 km",Petrol,15.29 kmpl,Automatic,Red,Not Available,Second,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1908,2021 Honda Jazz,ZX,₹ 9.48 Lakh,May 2021,"8,459 km",Petrol,16.6 kmpl,Manual,White,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1909,2021 Mahindra XUV500,W11(O) [2018-2020],₹ 21.69 Lakh,May 2021,"14,755 km",Diesel,15.1 kmpl,Manual,Black,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1910,2018 Maruti Suzuki DZire,VXi,₹ 6.79 Lakh,May 2018,"44,101 km",Petrol,21.21 kmpl,Manual,Bronze,Not Available,First,Registered at,"""This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty*
Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month.""",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1911,2020 Kia Seltos,HTK Plus 1.5 [2019-2020],₹ 14.23 Lakh,May 2020,"23,526 km",Petrol,16.8 kmpl,Manual,White,Not Available,First,Registered at,"""This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty*
Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month.""",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1912,2021 Hyundai Venue,SX Plus 1.0 AT Petrol [2019-2020],₹ 12.02 Lakh,May 2021,"16,778 km",Petrol,FWD ,Automatic,Blue,Not Available,First,Registered at,"""This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty*
Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month.""",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1913,2020 Hyundai Santro,Sportz AMT,₹ 6.19 Lakh,May 2020,"39,703 km",Petrol,20 kmpl,Automatic,Black,Not Available,First,Registered at,"""This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty*
Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month.""",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1914,2021 Volkswagen Polo,Trendline 1.2L (P),₹ 6.61 Lakh,May 2021,"9,891 km",Petrol,16.47 kmpl,Manual,White,Not Available,First,Registered at,"""This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty*
Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month.""",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1915,2017 Hyundai Verna,SX Plus 1.6 CRDi AT,₹ 10.12 Lakh,May 2017,"90,165 km",Diesel,FWD ,Automatic,Grey,Not Available,First,Registered at,"""This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty*
Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month.""",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1916,2018 Hyundai Grand i10,Sportz (O) AT 1.2 Kappa VTVT [2017-2018],₹ 6.54 Lakh,May 2018,"36,509 km",Petrol,17.49 kmpl,Automatic,Maroon,Not Available,First,Registered at,"""This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty*
Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month.""",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1917,2015 Hyundai Grand i10,Sports Edition 1.2L Kappa VTVT,₹ 4.73 Lakh,May 2015,"57,222 km",Petrol,18.9 kmpl,Manual,Red,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1918,2014 Maruti Suzuki Alto,VXI,₹ 2.88 Lakh,May 2014,"33,499 km",Petrol,145 / 80 R12 ,Manual,Silver,Not Available,Third,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1919,2017 Hyundai Eon,Magna +,₹ 3.89 Lakh,May 2017,"22,375 km",Petrol,21.1 kmpl,Manual,Red,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1920,2021 Volkswagen Polo,Highline Plus 1.0L TSI,₹ 10 Lakh,May 2021,"21,719 km",Petrol,18.2 kmpl,Manual,White,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1921,2014 Maruti Suzuki Wagon R,VXI+,₹ 4.01 Lakh,May 2014,"48,160 km",Petrol,20.5 kmpl,Manual,Brown,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1922,2018 Maruti Suzuki Eeco,7 STR [2019-2020],₹ 4.19 Lakh,May 2018,"13,241 km",Petrol,16.2 kmpl,Manual,Grey,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1923,2017 Hyundai Grand i10,Sportz 1.2 Kappa VTVT [2016-2017],₹ 5.12 Lakh,May 2017,"86,728 km",Petrol,18.9 kmpl,Manual,Grey,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1924,2021 Maruti Suzuki Wagon R,ZXi 1.2,₹ 6.34 Lakh,May 2021,"33,302 km",Petrol,20.52 kmpl,Manual,Beige,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1925,2019 Maruti Suzuki S-Presso,VXi,₹ 4.39 Lakh,May 2019,"26,493 km",Petrol,90 Nm @ 3500 rpm ,Manual,White,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
1926,2020 Maruti Suzuki S-Presso,VXi Plus,₹ 4.81 Lakh,May 2020,"38,956 km",Petrol,90 Nm @ 3500 rpm ,Manual,Silver,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.4/5,4.2/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2/5
