,make, model, price, year, km_used, fuel_type, mileage, transmission, color, fuel_economy, no_of_owners, registered_at, condition, overall_condition, engine_condition, suspension_condition, brakes_condition, electrical_condition, ac_condition, exterior_condition, interior_condition, tyre_condition
3967,2012 Land Rover Evoque,Dynamic SD4,₹ 23.5 Lakh,Jun-12,"61,000 km",Diesel,13.32 kmpl,Automatic,White,Not Available,First,Registered at,"All original single hand driven next to showroom condition top end model bumper to bumper original brand new tyres extra ordinary very well maintained just like brand new car compact suv with very comfortable drive full comprehensive insurance genuine buyers contact only please time wasters please stay away

ADDITIONAL VEHICLE INFORMATION:

ABS: Yes
Accidental: No
Adjustable External Mirror: Power
Adjustable Steering: Yes
Air Conditioning: Automatic Climate Control
Number of Airbags: More than 10
Alloy Wheels: Yes
Anti Theft Device: Yes
Aux Compatibility: Yes
Battery Condition: New
Bluetooth: Yes
Vehicle Certified: Yes
Color: White
Cruise Control: Yes
Engine Capacity/Displacement (in Cc): 2200
Insurance Type: Comprehensive
Lock System: Remote Controlled Central
Make Month: October
Navigation System: Yes
Parking Sensors: Yes
Power steering: Yes
Power Windows: Front & rear
AM/FM Radio: Yes
Rear Parking Camera: Yes
Registration Place: CH
Exchange: Yes
Finance: Yes
Service History: Available
Sunroof: Yes
Tyre Condition: New
USB Compatibility: Yes",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3968,2015 Audi A6,2.0 TDI Technology Pack,₹ 22 Lakh,Jun-15,"30,000 km",Diesel,16.66 kmpl,Automatic,Black,Not Available,Second,Registered at,"Audi A6 2.0 Technology. Punjab registered. Top variant , Beige interiors with bose audio system. With Navigation,  reverse camera. 18inch alloy. Very less driven. Immaculate condition. Car is available at Chandigarh Autoz Plot no-9 Industrial Area Phase-1 Chandigarh.",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3969,2016 Ford Endeavour,Titanium 3.2 4x4 AT,₹ 23.5 Lakh,Jun-16,"90,000 km",Diesel,10.91 kmpl,Automatic,White,Not Available,Second,Registered at,"Ford Endeavour 3.2 Titanium Automatic 4*4. Haryana registered. Top variant with TPMS , ABS , EBD, TCS, child seat  anchor points. Hill Hold control. Hill Descent control.
8 way electrically adjustable seats . Android and Apple car play. Car is available at Chandigarh Autoz Plot no-9 Industrial Area Phase-1 Chandigarh.",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3970,2016 BMW X5,xDrive 30d,₹ 38.5 Lakh,Jun-16,"85,000 km",Diesel,AWD ,Automatic,Brown,Not Available,First,Registered at,"BMW X5 . 2017 registered, 2016 manufactured. Chandigarh registered. First owner. B to B insured. Brand new tyres. Full Service history available. Brand new condition. Chandigarh paid number. Both keys available . Car is available at Chandigarh Autoz Plot no-9 Industrial Area Phase-1 Chandigarh.",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3971,2019 BMW 7-Series,730Ld M Sport,₹ 1.09 Crore,Jun-19,"16,500 km",Diesel,11.1 kmpl,Automatic,Blue,Not Available,First,Registered at,BRAND NEW DRIVEN ONLY 16500,4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3972,2019 Volvo XC60,Inscription [2017-2020],₹ 53 Lakh,Jun-19,"45,500 km",Diesel,4WD / AWD ,Automatic,Maroon,Not Available,First,Registered at,"Non Accidental, Single Owner, Rear view Camera, Service History Available, VIP Number, Excellent Condition, Original Paint, Finance Available & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3973,2019 BMW 7-Series,740Li DPE Signature,₹ 1.1 Crore,Jun-19,"13,500 km",Petrol,12.8 kmpl,Automatic,White,Not Available,First,Registered at,BRAND NEW CAR WITH PPF DONE ON IT ,4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3974,2017 Mercedes-Benz GLE,250 d,₹ 46.5 Lakh,Jun-17,"53,500 km",Diesel,"Automatic - 9 Gears, Paddle Shift, Sport Mode ",Automatic,White,Not Available,Second,Registered at,"Non Accidental, Rear view Camera, Service History Available, Good Condition, Original Paint, Finance Available & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3975,2012 Bentley Continental GT,Coupe,₹ 1.12 Crore,Jun-12,"18,509 km",Petrol,6.38 kmpl,Automatic,Black,Not Available,Second,Registered at,BRAND NEW CAR UNTOUCHED ,4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3976,2019 Land Rover Range Rover Velar,2.0 R-Dynamic HSE Petrol 250,₹ 68.25 Lakh,Jun-19,"64,500 km",Petrol,"Automatic - 8 Gears, Paddle Shift, Sport Mode ",Automatic,Beige,Not Available,First,Registered at,BRAND NEW CAR UNTOUCHED SRACTH LESS ,4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3977,2016 Volvo XC90,Momentum Luxury [2015-2020],₹ 36.5 Lakh,Jun-16,"1,30,000 km",Diesel,"Automatic - 8 Gears, Manual Override, Sport Mode ",Automatic,Black,Not Available,Third,Registered at,Well maintained,4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3978,2018 Land Rover Range Rover Velar,2.0 R-Dynamic HSE Diesel 180,₹ 75 Lakh,Jun-18,"33,500 km",Diesel,AWD ,Automatic,Brown,Not Available,First,Registered at,BRAND NEW CAR UNTOUCHED ,4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3979,2017 Toyota Innova,2.8 ZX AT 7 STR [2016-2020],₹ 18.9 Lakh,Jun-17,"95,000 km",Diesel,14.29 kmpl,Automatic,Silver,Not Available,First,Registered at,Toyota Innova Crysta 2.8 Z automatic. 2017 manufactured. First owner. Top variant. Company maintained till date. Car is available at Chandigarh Autoz. Plot no -9. Industrial area Phase-1 Chandigarh.,4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3980,2018 BMW X5,xDrive30d Pure Experience (5 Seater),₹ 52 Lakh,Jun-18,"80,000 km",Diesel,15.97 kmpl,Automatic,Black,Not Available,First,Registered at,"BMW X5 DPE. 2019 registered. 2018 manufactured. First owner.  B to B insured. Extended warranty upto Feb 2024 or 2 lakh kms. Company maintained. Brand new RFT tyres. Soft close doors. 4wd. 6 cylinders. ABS , EBD , Brake assist, traction control, hill hold control. Hill Descent control. Engine immobilizer. Rain sensing wipers. Car is available at Chandigarh Autoz Plot no-9 Industrial Area Phase-1 Chandigarh.",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3981,2015 Hyundai Creta,SX 1.6 CRDi,₹ 8.6 Lakh,Jun-15,"85,000 km",Diesel,19.67 kmpl,Manual,Silver,Not Available,First,Registered at,Hyundai Creta 1.6 Sx push button start. 2015 model. First owner. Haryana paid number. Excellent condition. Car is available at Chandigarh Autoz Plot no-9 Industrial Area Phase-1 Chandigarh.,4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3982,2014 Mercedes-Benz M-Class,ML 250 CDI,₹ 23.5 Lakh,Jun-14,"75,000 km",Diesel,AWD ,Automatic,Grey,Not Available,First,Registered at,Mercedes ML 250 . 2014 Manufactured. First owner. B to B insured. Very neat and clean car. All original interiors. Good tyres. Car is available at Chandigarh Autoz Plot no-9 Industrial Area Phase-1 Chandigarh.,4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3983,2020 BMW 3-Series,320d Luxury Line,₹ 44 Lakh,Jun-20,"27,000 km",Diesel,22.69 kmpl,Automatic,Blue,Not Available,Second,Registered at,BRAND NEW,4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3984,2015 Mercedes-Benz G-Class,G 63 AMG,₹ 1.38 Crore,Jun-15,"18,500 km",Petrol,4WD / AWD ,Automatic,White,Not Available,First,Registered at,"Certified Car, Non Accidental, Single Owner, Alloy Wheels, Rear view Camera, Service History Available, VIP Number, Less Driven, Original Paint, Finance Available, Test Drive Available & Immaculate Condition",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3985,2014 Mahindra XUV500,W8,₹ 7 Lakh,Jun-14,"95,000 km",Diesel,15.1 kmpl,Manual,White,Not Available,First,Registered at,Mahindra XUV 500 W8. 2014 manufactured. First owner. Full Insured. 50% NCB till date . Genuine driven. Brand new condition. Car is available at Chandigarh Autoz Plot no-9 Industrial Area Phase-1 Chandigarh.,4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3986,2016 BMW 3-Series,320d Luxury Line [2014-2016],₹ 24.5 Lakh,Jun-16,"48,000 km",Diesel,RWD ,Automatic,Black,Not Available,First,Registered at,2016 Regd year make 2015. black colour. first owner. all original car. well maintained with very carefully. 48k kms bmw company service recored. punjab number. car available at mohali motor box,4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3987,2019 Jeep Wrangler,Unlimited 4x4 Diesel,₹ 47.5 Lakh,Jun-19,"33,500 km",Diesel,12.1 kmpl,Automatic,Blue,Not Available,First,Registered at,"Certified Car, Non Accidental, Alloy Wheels, Service History Available, VIP Number, Less Driven, Original Paint, Finance Available, Test Drive Available & Immaculate Condition",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3988,2017 Ford Endeavour,Titanium 3.2 4x4 AT,₹ 31 Lakh,Jun-17,"31,500 km",Diesel,10.91 kmpl,Automatic,White,Not Available,First,Registered at,"Immaculate Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Rear view Camera, Service History Available, Test Drive Available, Alloy Wheels & Finance Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3989,2016 Mercedes-Benz GLE,250 d,₹ 42.5 Lakh,Jun-16,"80,000 km",Diesel,"Automatic - 9 Gears, Paddle Shift, Sport Mode ",Automatic,Black,Not Available,First,Registered at,"All original single hand driven next to showroom condition top end model bumper to bumper original brand new tyres extra ordinary very well maintained just like brand new car compact suv with very comfortable drive full comprehensive insurance genuine buyers contact only please time wasters please stay away

ADDITIONAL VEHICLE INFORMATION:

ABS: Yes
Accidental: No
Adjustable External Mirror: Power
Adjustable Steering: Yes
Air Conditioning: Automatic Climate Control
Number of Airbags: More than 10
Alloy Wheels: Yes
Anti Theft Device: Yes
Aux Compatibility: Yes
Battery Condition: New
Bluetooth: Yes
Vehicle Certified: Yes
Color: Black
Cruise Control: Yes
Engine Capacity/Displacement (in Cc): 3000
Insurance Type: Comprehensive
Lock System: Remote Controlled Central
Make Month: December
Navigation System: Yes
Parking Sensors: Yes
Power steering: Yes
Power Windows: Front & rear
AM/FM Radio: Yes
Rear Parking Camera: Yes
Exchange: Yes
Finance: Yes
Service History: Available
Sunroof: Yes
Tyre Condition: New
USB Compatibility: Yes",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3990,2013 Maruti Suzuki Ertiga,VDi,₹ 4.75 Lakh,Jun-13,"85,000 km",Diesel,20.77 kmpl,Manual,White,Not Available,First,Registered at,FIirst owner car. Diesel vdi varient. punjab regd. insurance nil..,4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3991,2019 Toyota Innova,2.8 GX AT 7 STR [2016-2020],₹ 19 Lakh,Jun-19,"85,000 km",Diesel,14.29 kmpl,Automatic,Maroon,Not Available,First,Registered at,Toyota Innova Crysta 2.8 GX Automatic. First owner. Full Insured. New tyres. Car is available at Chandigarh Autoz Plot no-9 Industrial Area Phase-1 Chandigarh.,4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3992,2021 Jeep Wrangler,Rubicon,₹ 66.5 Lakh,Jun-21,"6,500 km",Petrol,10 kmpl,Automatic,Grey,Not Available,First,Registered at,"Certified Car, Single Owner, Alloy Wheels, Rear view Camera, Service History Available, Less Driven, Original Paint, Finance Available, Test Drive Available, Warranty Available & Immaculate Condition",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3993,2011 Ford Fiesta,Titanium+ Diesel [2011-2014],₹ 2.5 Lakh,Jun-11,"74,000 km",Diesel,23.5 kmpl,Manual,Maroon,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3994,2020 Land Rover Discovery,3.0 S Diesel,₹ 61 Lakh,Jun-20,"23,500 km",Diesel,AWD ,Automatic,Blue,Not Available,First,Registered at,"Certified Car, Non Accidental, Single Owner, VIP Number, Less Driven, Original Paint, Finance Available, Test Drive Available & Immaculate Condition",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3995,2019 Mercedes-Benz CLA,200 CDI Sport,₹ 29.5 Lakh,Jun-19,"29,000 km",Diesel,FWD ,Automatic,Black,Not Available,First,Registered at,Excellent Condition,4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3996,2009 Honda City,1.5 S MT,₹ 3.1 Lakh,Jun-09,"90,000 km",Petrol,11.6 kmpl,Manual,White,Not Available,First,Registered at,"Immaculate Condition, Army officer driven car, Non Accidental, Original Paint, Single Owner & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3997,2020 Hyundai Venue,S 1.2 Petrol,₹ 7.49 Lakh,Jun-20,"3,000 km",Petrol,17.52 kmpl,Manual,White,Not Available,First,Registered at,"Immaculate Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Finance Available, Test Drive Available & Service History Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3998,2015 Toyota Etios,1.4 VD,₹ 5.6 Lakh,Jun-15,"51,000 km",Diesel,23.59 kmpl,Manual,Red,Not Available,First,Registered at,"Bank officer driven car. Top model in our variante new tyres with cutt alloys . secrtch less well maintain car no need singal rupee on car,..",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
3999,2013 Mercedes-Benz E-Class,E250 CDI Avantgarde,₹ 15.9 Lakh,Jun-13,"60,000 km",Diesel,14.2 kmpl,Automatic,Black,Not Available,Second,Registered at,"Immaculate Condition, Less Driven, Non Accidental, Original Paint, Alloy Wheels, Finance Available & Test Drive Available..",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4000,2011 Maruti Suzuki Ritz,Zxi BS-IV,₹ 2.9 Lakh,Jun-11,"49,000 km",Petrol,"
Front Tyres
								165 / 80 R14 
Rear Tyres
								165 / 80 R14 
",Manual,White,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4001,2015 Renault Kwid,RXT [2015-2019],₹ 3.25 Lakh,Jun-15,"60,000 km",Petrol,25.17 kmpl,Manual,Maroon,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4002,2017 Maruti Suzuki Vitara Brezza,ZDi Plus,₹ 8.85 Lakh,Jun-17,"80,000 km",Diesel,24.29 kmpl,Manual,Grey,Not Available,First,Registered at,"Immaculate Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera, Service History Available & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4003,2018 Hyundai Grand i10,Magna U2 1.2 CRDi,₹ 4.7 Lakh,Jun-18,"72,000 km",Diesel,24.95 kmpl,Manual,Silver,Not Available,First,Registered at,"Immaculate Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4004,2017 Tata Hexa,XM 4x2 7 STR,₹ 9.5 Lakh,Jun-17,"94,000 km",Diesel,14.4 kmpl,Manual,Brown,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera, Service History Available & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4005,2013 Mercedes-Benz E-Class,E250 CDI Avantgarde,₹ 17.25 Lakh,Jun-13,"60,000 km",Diesel,14.2 kmpl,Automatic,White,Not Available,First,Registered at,"Immaculate Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available & Test Drive Available,..",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4006,2018 Volvo XC60,Inscription [2017-2020],₹ 54.5 Lakh,Jun-18,"8,500 km",Diesel,4WD / AWD ,Automatic,White,Not Available,First,Registered at,"Non Accidental, Single Owner, Rear view Camera, Service History Available, VIP Number, Less Driven, Original Paint, Finance Available, Test Drive Available & Immaculate Condition",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4007,2018 Hyundai Verna,SX (O) 1.6 CRDi  AT,₹ 11.5 Lakh,Jun-18,"38,000 km",Diesel,FWD ,Automatic,White,Not Available,First,Registered at,"Immaculate Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera, Service History Available & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4008,2015 Ford Ecosport,Titanium 1.5 TDCi,₹ 4.55 Lakh,Jun-15,"82,000 km",Diesel,22.7 kmpl,Manual,White,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Rear view Camera, Service History Available & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4009,2015 Honda City,1.5 S MT,₹ 6.9 Lakh,Jun-15,"75,000 km",Petrol,16.8 kmpl,Manual,White,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Test Drive Available & Service History Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4010,2009 Maruti Suzuki Swift,VXi,₹ 2.5 Lakh,Jun-09,"75,000 km",Petrol,Manual - 5 Gears ,Manual,Silver,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4011,2017 Maruti Suzuki Alto,LXi CNG [2014-2018],₹ 4.75 Lakh,Jun-17,"52,000 km",CNG,32.26 km/kg,Manual,White,Not Available,First,Registered at,"Immaculate Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Finance Available, Service History Available & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4012,2015 Maruti Suzuki Wagon R,VXI,₹ 3.75 Lakh,Jun-15,"60,000 km",Petrol,20.5 kmpl,Manual,White,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Finance Available, Test Drive Available & Service History Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4013,2014 BMW 5-Series,520d Modern Line,₹ 22.5 Lakh,Jun-14,"60,000 km",Diesel,18.48 kmpl,Automatic,Gold,Not Available,First,Registered at,2014 Bmw 520 D all original next to showroom condition top end model fully loaded full comprehensive insured brand new tyres demand 22.50 lakh,4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4014,2014 Audi Q5,2.0 TDI quattro Premium Plus,₹ 19 Lakh,Jun-14,"70,000 km",Diesel,12.8 kmpl,Automatic,Brown,Not Available,Second,Registered at,"Audi Q5 . 2015 registered, 2014 manufactured. Driven with company service record. Brand new condition. Car is available at Chandigarh Autoz Plot no-9 Industrial Area Phase-1 Chandigarh",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4015,2011 BMW 5-Series,525d Sedan,₹ 12 Lakh,Jun-11,"80,000 km",Diesel,17.24 kmpl,Automatic,Grey,Not Available,First,Registered at,BMW 525D. 2012 registered. 2011 manufactured. Chandigarh registered. First owner.  Excellent condition. Car is available at Chandigarh Autoz Plot no-9 Industrial Area Phase-1 Chandigarh.,4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4016,2019 Toyota Innova,GX 2.4 7 STR,₹ 17.49 Lakh,Jun-19,"60,000 km",Diesel,15.6 kmpl,Manual,White,Not Available,First,Registered at,2019 Innova Crysta 2.4 GX. First owner. Under warranty. Car available at Chandigarh Autoz Plot no-9 Industrial Area Phase-1 Chandigarh.,4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4017,2014 Toyota Fortuner,3.0 4x2 AT,₹ 16 Lakh,Jun-14,"1,20,000 km",Diesel,12.55 kmpl,Automatic,White,Not Available,Second,Registered at,Toyota Fortuner Automatic 4*2 . 2014 model. Haryana registered. Full Insured. Brand new condition. Car is available at Chandigarh Autoz Plot no-9 Industrial Area Phase-1 Chandigarh.,4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4018,2017 Toyota Innova,2.4 ZX 7 STR [2016-2020],₹ 17.5 Lakh,Jun-17,"90,000 km",Diesel,15.1 kmpl,Manual,Gold,Not Available,First,Registered at,Toyota Innova Crysta 2.4 Zx manual. Top variant. First owner. Haryana registered. Excellent condition. Finance and Exchange facility available. Car is available at Chandigarh Autoz Plot no-9 Industrial Area Phase-1 Chandigarh.,4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4019,2019 Toyota Innova,GX 2.4 7 STR,₹ 17.52 Lakh,Jun-19,"55,000 km",Diesel,15.6 kmpl,Manual,Silver,Not Available,First,Registered at,"Immaculate Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4020,2019 Hyundai Creta,SX 1.6 CRDi,₹ 13.5 Lakh,Jun-19,"80,000 km",Diesel,19.67 kmpl,Manual,White,Not Available,First,Registered at,Hyundai Creta 1.6 SX diesel manual. 2019 model. First owner. Full Insured. Haryana registered. Very well maintained till date. Car is available at Chandigarh Autoz Plot no-9 Industrial Area Phase-1 Chandigarh.,4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4021,2018 Maruti Suzuki Ciaz,Alpha 1.4 MT,₹ 8 Lakh,Jun-18,"55,000 km",Petrol,20.73 kmpl,Manual,White,Not Available,First,Registered at,"Maruti suzuki Ciaz Alpha petrol. 2018 model. Driven with service record. Push Button start, top end variant. Very well maintained. Car is available at Chandigarh Autoz Plot no-9 Industrial Area Phase-1 Chandigarh.",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4022,2016 Toyota Innova,2.4 ZX 7 STR [2016-2020],₹ 16.45 Lakh,Jun-16,"55,000 km",Diesel,15.1 kmpl,Manual,Grey,Not Available,First,Registered at,Toyota Innova Crysta 2.4 Z. First owner. B to B insured. Haryana registered. Driven with company service record. Car is available at Chandigarh Autoz Plot no-9 Industrial Area Phase-1 Chandigarh.,4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4023,2013 Audi Q3,2.0 TDI quattro Premium Plus,₹ 14.95 Lakh,Jun-13,"70,000 km",Diesel,15.77 kmpl,Automatic,White,Not Available,First,Registered at,Audi Q3 2.0 Premium Plus.  2013 model. First Owner. Full Insured. Driven with record. Very well maintained. New tyres. Car is available at Chandigarh Autoz Plot no-9 Industrial Area Phase-1 Chandigarh.,4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4024,2013 Audi A6,2.0 TDI Premium,₹ 14 Lakh,Jun-13,"90,000 km",Diesel,16.66 kmpl,Automatic,Black,Not Available,Second,Registered at,Audi A6 2.0 TDi premium plus. 2013 manufactured. Full insured. Brand new condition. Car is available at Chandigarh Autoz Plot no-9 Industrial Area Phase-1 Chandigarh.,4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4025,2017 Isuzu D-Max V-Cross,4x4,₹ 14.75 Lakh,Jun-17,"80,000 km",Diesel,Manual - 5 Gears ,Manual,White,Not Available,First,Registered at,Izuzu VCross 4*4 . Chandigarh registered. First owner. Driven with record. Front and back reinforced iron bumper. LED lights. Bed liner with cover. 17 inch alloy wheels. Up Size tyres. Well maintained till date. Car is available at Chandigarh Autoz Plot no-9 Industrial Area Phase-1 Chandigarh.,4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4026,2017 Toyota Fortuner,2.8 4x4 AT [2016-2020],₹ 31 Lakh,Jun-17,"90,000 km",Diesel,12.9 kmpl,Automatic,White,Not Available,Second,Registered at,Toyota Fortuner Automatic 4*4. Well maintained till date. Car is available at Chandigarh Autoz Plot no-9 Industrial Area Phase-1 Chandigarh.,4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4027,2013 Toyota Fortuner,3.0 4x2 AT,₹ 14.25 Lakh,Jun-13,"1,55,000 km",Diesel,12.55 kmpl,Automatic,White,Not Available,First,Registered at,"Toyota Fortuner Automatic 4*2.
2013 manufactured.
Haryana registered.
First owner.
Full Insured .
All original car.

Car is available at Chandigarh Autoz Plot no-9 Industrial Area Phase-1 Chandigarh.
Excellent condition",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4028,2014 Mercedes-Benz M-Class,ML 350 CDI,₹ 27 Lakh,Jun-14,"65,000 km",Diesel,15.26 kmpl,Automatic,White,Not Available,Second,Registered at,Mercedes ML350 . 2015 registered. 2014 manufactured. Brand new condition. Driven 65000 kms with service record. B to B insured . Michelin tyres. Excellent condition. Car is available at Chandigarh Autoz Plot no-9 Industrial Area Phase-1 Chandigarh,4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4029,2019 Maruti Suzuki Vitara Brezza,VDi,₹ 8.99 Lakh,Jun-19,"30,000 km",Diesel,24.29 kmpl,Manual,Grey,Not Available,First,Registered at,Maruti Breeza VDI automatic. 2019 model. 30000 kms driven with record. Car is available at Chandigarh Autoz Plot no-9 Industrial Area Phase-1 Chandigarh.,4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
